ID,StoreName,City,Latitude,Longitude,GoogleMapsLink
store_002565,"Hotspot- PUNJAB-MOGA","Moga",28.5670716,77.321134,https://www.google.com/maps?q=28.5670716,77.321134
store_002562,"Hotspot- PUNJAB - PEER MUCHALLA MOHALI","Peer Muchalla",30.6610359,76.8606856,https://www.google.com/maps?q=30.6610359,76.8606856
store_002566,"Hotspot- PUNJAB - PATIALA","Patiala",30.3367359,76.3833088,https://www.google.com/maps?q=30.3367359,76.3833088
store_002595,"Hotspot- HOWRAH","Kolkata",22.590886,88.34105079999999,https://www.google.com/maps?q=22.590886,88.34105079999999
store_002599,"Hotspot- KOLKATA-CHANDAN NAGAR","Kolkata",22.8633656,88.367671,https://www.google.com/maps?q=22.8633656,88.367671
store_002585,"Hotspot- NOIDA-SECTOR18-II","Noida",28.572176,77.3240682,https://www.google.com/maps?q=28.572176,77.3240682
store_002569,"Hotspot- RAJASTHAN - BHILWARA","Bhilwara",25.3436478,74.6266016,https://www.google.com/maps?q=25.3436478,74.6266016
store_002600,"Hotspot- KOLKATA-NEW PARK CIRCUS-2","Kolkata",22.5494758,88.37071689999999,https://www.google.com/maps?q=22.5494758,88.37071689999999
store_002570,"Hotspot- RAJASTHAN - PAOTA","Jaipur",29.9219898,73.8726949,https://www.google.com/maps?q=29.9219898,73.8726949
store_002598,"Hotspot- KOLKATA-LINTON STREET","Kolkata",22.5494758,88.37071689999999,https://www.google.com/maps?q=22.5494758,88.37071689999999
store_002584,"Hotspot- PACIFIC MALL","Ghaziabad",28.6463896,77.3199776,https://www.google.com/maps?q=28.6463896,77.3199776
store_002568,"Hotspot- RAJASTHAN - KOTPUTLI","Jaipur",26.8956554,75.8301089,https://www.google.com/maps?q=26.8956554,75.8301089
store_002567,"Hotspot- RAJASTHAN- PURANA BAZAR","Hanumangarh",29.5822731,74.3252718,https://www.google.com/maps?q=29.5822731,74.3252718
store_002586,"Hotspot- GHAZIABAD-INDIRAPURAM-FOCO-CC7","Ghaziabad",28.6384625,77.3606626,https://www.google.com/maps?q=28.6384625,77.3606626
store_002572,"Hotspot- RAJASTHAN - RAJA PARK","Jaipur",26.8956554,75.8301089,https://www.google.com/maps?q=26.8956554,75.8301089
store_002577,"Hotspot- RAJASTHAN - JAIPUR KHATIPURA","Jaipur",26.9703972,75.7578711,https://www.google.com/maps?q=26.9703972,75.7578711
store_002571,"Hotspot- RAJASTHAN - GANGANAGAR","Shri Ganganagar",29.9219898,73.8726949,https://www.google.com/maps?q=29.9219898,73.8726949
store_002587,"Hotspot- GHAZIABAD-GANDHI NAGAR","Ghaziabad",28.6556908,77.4355479,https://www.google.com/maps?q=28.6556908,77.4355479
store_002588,"Hotspot- NOIDA-MALLOFINDIA","Noida",28.5670716,77.321134,https://www.google.com/maps?q=28.5670716,77.321134
store_002575,"Hotspot- RAJASTHAN - ALWAR","Alwar",27.5642562,76.5984143,https://www.google.com/maps?q=27.5642562,76.5984143
store_002573,"Hotspot- RAJASTHAN - AJMER","Ajmer",26.453272,74.637421,https://www.google.com/maps?q=26.453272,74.637421
store_002574,"Hotspot- RAJASTHAN - AJMER VAISHALI NAGAR","Ajmer",26.453272,74.637421,https://www.google.com/maps?q=26.453272,74.637421
