Store ID,Store Name,City,Latitude,Longitude,Google Maps Link
store_003456,Airnet (Retail),Delhi,28.5380794,77.2601179,"https://www.google.com/maps?q=28.5380794,77.2601179"
store_003451,YAMUNA ELECTRONICS (Retail),Delhi,28.7013158,77.2658974,"https://www.google.com/maps?q=28.7013158,77.2658974"
store_003459,SHREE SAMARTH KRUPA ENTERPRISES (ASP),Maharashtra,19.193886,73.0927425,"https://www.google.com/maps?q=19.193886,73.0927425"
store_003460,SHARP SERVICE (ASP),Delhi,28.5656693,77.2779276,"https://www.google.com/maps?q=28.5656693,77.2779276"
store_003466,TECHNOMACH (ASP),Maharashtra,18.6422219,73.8260641,"https://www.google.com/maps?q=18.6422219,73.8260641"
store_003477,SREE SAI AC SERVICE CENTRE (ASP),Tamil Nadu,13.0708913,80.2101995,"https://www.google.com/maps?q=13.0708913,80.2101995"
store_003462,OM ENTERPRISES (ASP),UP West,28.5195493,77.2866126,"https://www.google.com/maps?q=28.5195493,77.2866126"
store_003481,MAHALAKSHMI COOLING SYSTEMS (ASP),Karnataka,12.9617998,77.63750499999999,"https://www.google.com/maps?q=12.9617998,77.63750499999999"
store_003467,UNIVERSAL CARE (ASP),Haryana,28.7362859,77.10750759999999,"https://www.google.com/maps?q=28.7362859,77.10750759999999"
store_003469,MICRO SERVICES (ASP),Maharashtra,19.2250419,72.9670019,"https://www.google.com/maps?q=19.2250419,72.9670019"
store_003471,Kumar Electronics India (Retail),Delhi,28.7118689,77.1158497,"https://www.google.com/maps?q=28.7118689,77.1158497"
store_003455,SAI ENTERPRISES MV PHIII (Retail),Delhi,28.5354626,77.2807938,"https://www.google.com/maps?q=28.5354626,77.2807938"
store_003484,Alfa Air Conditioning (ASP),Maharashtra,19.0265673,72.8654749,"https://www.google.com/maps?q=19.0265673,72.8654749"
store_003486,Shri Balaji Telecom (Retail),Haryana,28.1364305,77.3292234,"https://www.google.com/maps?q=28.1364305,77.3292234"
store_003475,IQAIR SOLUTIONS (ASP),Karnataka,12.9965862,77.6580503,"https://www.google.com/maps?q=12.9965862,77.6580503"
store_003490,As Engineering Works (Retail),Lucknow,26.848008,80.93342299999999,"https://www.google.com/maps?q=26.848008,80.93342299999999"
store_003489,Global Enterprises (Retail),Lucknow,26.8913017,81.0389074,"https://www.google.com/maps?q=26.8913017,81.0389074"
store_003488,Feel Heaven Aircondition (Retail),Lucknow,26.8445626,80.9353651,"https://www.google.com/maps?q=26.8445626,80.9353651"
store_003487,Shivi Enterprises (Retail),Lucknow,26.8488157,80.94138889999999,"https://www.google.com/maps?q=26.8488157,80.94138889999999"
